intron	mm	del	ins
495653	4471667	0	0
542232	1723207	0	0
545899	1547656	0	0
517275	1096690	22988	0
545213	674300	47356	317704
513527	1021670	22265	324277
532017	695463	18181	300232
508004	462207	15544	256505
501400	918261	14655	217368
507277	444862	13342	177876
537756	1093345	13234	150063
514492	395278	13230	123940
503035	396253	14296	100110
515068	453667	13665	79514
516591	409004	13470	56733
502847	480091	13754	43356
522720	494355	13305	32378
508987	390953	13199	26632
511753	1232378	13807	24457
501540	419733	15829	22235
512763	492204	12537	22879
513161	466712	12246	20157
509085	366280	12486	20161
510601	444687	12721	20088
500649	433359	13079	20254
502228	677541	12683	20721
501502	422587	13251	20780
497183	477058	12230	19996
506564	410782	12484	19761
505703	410887	16015	22446
496510	458148	13318	20894
506018	517554	13567	20082
513237	399275	13169	19913
509718	588089	12734	20068
496975	456572	12314	19692
502143	411771	12372	19603
512736	418413	12391	19933
507347	617124	12706	20273
511256	1468261	12433	21061
504651	734603	12752	20857
516699	449891	12915	20702
511273	453236	13130	20158
509261	543913	13105	20195
505164	469067	13520	19775
499283	625007	15744	20114
503893	497838	12522	21327
502088	521546	12528	18651
503159	512112	12905	19855
509607	579441	13005	19972
519740	535788	13148	19012
509297	546150	12899	19481
507240	554397	13072	19475
513309	570279	12322	19213
524701	583462	12425	19286
520001	601682	15753	21520
517116	642614	13769	20535
530223	626945	14118	20409
529834	643605	13342	20933
529297	659775	12875	21618
531893	714857	12783	24045
539163	722842	12676	27803
527382	748457	12218	33497
527423	779598	12464	40664
529892	806427	12377	47836
537807	845657	12184	55253
539829	1857771	11829	62280
544975	1125896	11811	70438
550581	973703	12166	77380
551679	1244379	13209	84732
562715	1357254	12343	96912
565471	1349324	21453	100373
583606	1319165	12301	94838
585379	1535817	0	0
583500	1425086	0	0
581319	1511646	0	0
0	2123788	0	0
