intron	mm	del	ins
13920	951034	3096	0
22512	810275	8617	7778
50120	666366	19701	31691
87485	598301	27315	42176
121827	573139	31340	47417
143086	550690	32251	48897
152782	565035	33744	49145
155854	567264	34295	49735
158619	590865	34565	50302
159644	574856	34919	50190
159458	596767	34764	49923
158853	561763	35088	51181
159877	590980	35602	49582
160329	565111	34869	49051
159894	592001	34255	49026
162475	590129	34177	49127
161319	600013	34398	48964
161698	599993	34145	49601
161185	622832	35221	50425
161138	610256	35220	50079
161854	609147	34339	51113
165843	689046	44879	51135
162418	692096	36633	54456
172569	694520	36951	32501
163130	677698	35745	26340
163444	644428	36546	25849
165529	650619	35160	30532
164257	658846	34490	94951
164497	684591	38555	51627
164870	691566	39728	50988
164046	700651	35034	51386
164078	720547	35613	54445
164528	748482	36679	50492
168232	753412	36606	51564
163330	813677	36165	49102
174036	822338	35700	51134
167812	864551	34721	50366
164385	880425	35645	50549
164886	929512	34601	51052
164121	850024	35512	50248
165128	835021	36411	50779
163064	870251	35894	49795
171226	882497	35030	50453
163315	915910	35707	52273
165554	913223	34729	50929
165162	924369	34912	52724
165758	977816	35000	51883
169329	984542	39257	54147
169541	1035274	35519	30147
165122	1028226	34670	23336
165915	959911	36537	21772
169712	975180	35411	19653
165582	1009316	38566	23729
168756	1044052	35421	56892
168748	1057930	36224	56512
165029	1093956	35523	55943
165793	1096957	41323	53014
166024	1124023	35910	50705
176677	1175535	36104	51661
168559	1216776	42021	53173
165419	1257229	35043	50904
164091	1319003	36851	51412
165818	1380065	36027	50574
166274	1430876	35447	52511
167366	1483534	36287	51620
166839	1477107	35704	50743
164606	1541886	36171	51090
162618	1533207	38137	50960
161293	1567346	36546	50684
167907	1604946	34083	50619
136972	1685006	33963	50280
108236	1735233	30523	47573
71445	1864291	24509	43342
42089	1932033	16437	12833
30895	2150078	11949	2499
0	3530270	0	0
