intron	mm	del	ins
195766	292522	10929	15096
195914	306842	13395	15255
198558	311504	11132	15238
197133	310474	10959	15744
196241	307032	10459	15756
195761	303424	11098	15544
196467	310879	10976	16000
197208	317318	12644	15929
198538	332000	11928	15749
197108	322559	10808	15979
197997	335478	10936	15767
197869	312516	11021	15517
196990	328544	10693	15570
199387	314235	11579	16170
199782	325259	10809	16455
198214	329278	10781	17745
197964	333884	11313	16361
199495	334016	10937	15639
198931	348370	10871	15605
200203	337680	11578	15700
198884	337518	11119	15825
198013	388108	10718	15879
202177	386625	12346	15863
204143	388825	10825	15690
198587	381285	10997	15906
199628	368918	10985	16525
199550	369439	11378	16609
199211	383033	10956	15868
198489	397534	11384	16053
200884	400987	11052	15873
199225	403303	12154	15980
197784	416373	11192	15204
202165	434452	11435	15285
200413	432412	10948	15600
201371	470251	11385	15337
201195	484030	11602	15726
198408	503964	12850	16543
200432	519787	10762	15963
200769	520160	11649	16101
203557	497124	10702	15793
199747	486525	11235	15802
201837	507338	11182	15488
201213	512570	11778	15621
200345	536863	10994	17037
201168	530053	10985	17013
201303	541942	11192	16127
200082	575130	11156	15850
201636	576787	10957	17557
199493	605667	12051	16012
201110	606725	11410	15691
201400	629758	10953	15644
206155	641902	11034	15740
205150	662412	10988	15384
201356	691809	10825	15629
201829	705076	11418	15997
202727	728442	10999	15991
204339	731599	10723	15927
202921	750325	10959	15934
203932	785460	11127	15995
203821	812509	11280	15843
203966	841834	11095	15347
199287	880393	11045	15950
203484	919109	11489	16043
202531	956109	10896	16164
202223	991016	12096	16329
202146	991264	11411	16386
209730	1031091	11030	16930
203878	1031381	11449	16128
201625	1049506	11355	15863
207284	1083649	11158	15462
204557	1132898	10688	17325
201130	1164312	11031	17203
204403	1235957	11024	16260
200971	1248062	11220	16243
202512	1317768	11412	16598
0	2112788	0	15742
