intron	mm	del	ins
0	0	1	0
0	0	0	0
0	218379	0	0
0	223099	0	0
73	231234	0	0
228	229109	0	0
605	236426	45	3
3404	236619	329	83
15424	243227	1713	317
54466	223333	4455	947
102254	229425	6713	1825
140345	211016	8026	2366
160719	224292	7909	2676
170811	214560	8329	2957
174706	224495	8389	4255
175946	230524	9225	6397
177176	236855	9119	9102
178896	237742	8651	9757
179258	251236	8690	11490
181303	243113	9381	11979
180185	243871	10325	12196
180383	287801	8944	12321
184727	286691	8611	12848
187047	288856	8786	12710
182930	283099	8881	12890
184298	271870	9068	13288
185511	273151	8982	13415
185906	285349	9332	13149
185544	298254	9435	13087
187927	300516	8978	12759
186751	303367	10233	12301
185363	316117	9683	12094
189692	332320	9599	12452
187937	330672	9030	12616
188308	364473	9447	12695
188411	377209	9578	12919
186393	395654	10404	13625
188748	409905	9222	13388
187986	410054	9585	13389
190179	389600	8821	12751
185798	379705	9231	12747
186602	397755	9028	12336
186234	403126	9213	12320
185113	423746	8922	13026
185464	417025	8877	13108
184654	428314	9121	12482
181575	457106	8524	12439
181123	458673	9212	13705
178033	485240	9357	12165
176524	486262	9193	12001
174166	508563	8289	11882
176462	517927	8481	12162
173212	536467	8410	11591
167968	563526	8010	11207
165946	574866	8232	11197
164663	596938	8142	11161
163201	598580	7786	10810
159418	615319	7947	10015
158444	646178	7391	8944
156352	667656	7903	6972
153602	690390	7658	4947
146371	720673	7297	3789
140634	751743	7313	2792
121726	780619	6613	2449
89250	810010	6449	2261
47268	807512	4349	1676
15688	844622	1238	939
3364	857714	273	322
545	872677	33	71
145	905018	1	5
34	939417	0	0
0	960750	0	0
0	961320	0	0
0	923020	0	0
0	0	0	0
0	0	0	0
