intron	mm	del	ins
11901	553018	607	0
15796	424876	1422	1498
43607	299408	4287	6010
86253	235402	6322	8649
128554	210496	7370	9806
153904	198834	8246	10487
166584	201088	7962	10673
172345	204087	8179	10646
174143	215390	8519	10573
174981	209308	8085	10625
175631	217872	8160	10674
175820	201726	8365	10600
175611	211507	8040	10595
176962	202775	8062	11032
176455	209463	8056	11505
176373	212456	7977	10937
176933	216846	8084	11097
176871	216540	8064	10491
177201	227121	8174	10373
177391	219410	8460	10559
177422	219771	9475	10670
178025	257502	8230	10759
181646	256273	8068	11101
183918	258310	8182	8073
178246	253608	8032	7303
178642	238703	8300	7915
179017	239442	8166	8790
178624	248565	8428	11312
177829	259871	8592	11449
179706	262014	8047	11187
178318	265166	9403	11135
177084	274706	8803	10465
180791	287147	8604	10747
179593	285964	8150	10730
180233	314262	8487	10691
179991	325632	8648	10857
177903	341122	9296	11070
179617	353651	8277	10999
179656	354392	8486	11144
182315	338010	8174	11023
178686	328844	8204	10826
180241	345307	8082	10639
180286	349395	8407	10630
179513	369459	8176	11799
180314	363598	8236	11948
180434	373385	8534	11268
178599	399051	7979	11394
180362	401011	8794	12878
179302	425460	8994	8486
179910	426816	8550	7150
180647	423568	8038	7082
185304	424730	8437	6194
184621	440684	8225	6400
180012	463423	8059	11360
180589	474264	8060	11745
181807	492086	8230	11010
183467	494310	8088	10747
181137	508340	8437	10770
181816	536440	8122	10990
182475	557699	8845	10951
182456	580405	8718	10551
178579	613011	8261	11117
182185	644883	8676	11254
181293	672738	8356	11423
180539	702553	8888	11233
179933	702532	8722	11527
186357	735465	8558	11923
177140	736223	8427	11201
172228	751552	9375	10887
164920	781146	8027	10672
140848	823385	7816	10809
98245	860356	6933	10040
57166	943682	5284	8530
28548	1018328	2781	2630
22871	1190573	2327	562
0	2001316	0	0
