intron	mm	del	ins
0	0	0	0
0	0	0	0
0	0	0	0
0	671945	0	0
0	686730	23630	0
0	685583	27334	24580
0	753774	28802	28342
0	761583	38371	28700
0	797373	41418	39211
0	778885	40955	50227
0	810218	50415	53000
0	761189	46779	58558
0	798690	50486	62279
0	770510	50517	68218
0	807106	50170	69848
0	817565	51600	71150
0	837012	51631	76505
0	843697	53271	80806
0	882837	56167	80631
131597	868992	55350	81189
136276	867352	55272	92677
142003	979985	62468	98880
142052	988288	54944	104117
153920	985320	54564	109838
147726	961919	54964	109830
147843	946395	55238	112984
150422	955337	54534	113965
151383	978800	53950	159754
152331	1013665	60092	118101
150670	1021380	60219	118756
150632	1033237	55385	118590
145861	1065139	55342	122641
142194	1103143	56576	121364
133628	1107158	56983	121232
117220	1190494	55681	119796
88956	1206600	56130	117936
53929	1263848	54372	111997
29801	1286570	54981	107818
15751	1336993	54749	102641
9507	1232915	54668	97176
6510	1210212	56151	95193
4295	1254673	55093	92932
3934	1268927	53972	92128
2583	1310882	53819	92518
2325	1303695	53530	92717
1711	1315993	52690	91796
1524	1386074	53007	88174
1206	1388663	55194	88515
966	1445658	53797	87215
703	1433547	53443	85059
528	1490537	53591	83262
361	1508577	52856	83705
300	1554132	54804	83905
195	1600316	52045	85502
84	1613419	51685	88323
13	1663713	50648	85191
0	1660038	53905	79780
0	1687822	48984	74464
0	1753191	51507	73759
0	1797322	51854	73080
0	1845956	47651	67340
0	1911121	53753	64452
0	1972135	46019	65781
0	2031548	43388	63084
0	2080746	43835	54047
0	2054487	37846	47527
0	2111696	38007	45848
0	2053292	37655	38354
0	2057849	27026	28425
0	2054738	23987	26150
0	1910268	22113	23564
0	1850564	0	0
0	1804747	0	0
0	0	0	0
0	0	0	0
0	0	0	0
