intron	mm	del	ins
164208	201896	0	0
167949	183515	0	0
174553	168012	0	0
174331	163546	5830	0
174827	148544	15993	37372
173091	142806	9145	36908
173512	145447	8975	34642
173680	147681	8443	31944
172774	156161	8353	29318
172308	151718	7766	26228
172325	158262	7851	23792
172153	146743	8093	21514
171802	154370	7499	19530
172845	147679	7710	17293
172128	152303	7659	16309
172040	154853	8456	15371
172119	158316	8548	13703
171968	157891	8613	13038
172494	166357	9573	13383
173454	160382	11492	13929
172573	161718	10093	14671
171730	190833	8856	11678
175350	188816	9128	13038
177315	190058	9359	13615
172565	187271	9534	13606
172533	178896	9617	14449
172671	179947	9402	14105
172666	187360	9041	13045
172010	197393	8997	12067
174091	197172	10851	14468
172881	198452	9802	13222
171791	207075	8807	11917
175665	216731	8463	11988
174368	215284	7920	11821
175054	237374	8606	11746
174646	245928	8543	12126
172696	258569	9230	12322
174453	268548	8053	12301
174245	269396	8618	12559
176519	257633	7880	12049
173475	250169	8206	11860
175141	263439	8417	11750
174694	266062	9099	12197
173701	282844	9575	13870
174608	277606	10961	15051
174654	288407	8821	15055
172610	309792	8605	11914
173969	310370	9995	14406
172843	329541	10189	13784
174006	331006	10113	13523
174117	347784	9453	13535
179094	351866	9594	13052
178632	365640	9074	12990
174269	388262	8314	11432
175203	396624	11116	15306
176189	411364	9960	15158
178520	406036	9403	13860
176647	418316	8817	13099
177558	442039	7856	12698
177930	460435	8393	12822
178194	480869	8274	13283
174353	508605	7858	14734
178306	537343	8190	16373
177652	560877	7806	18305
177749	587927	8384	20138
177561	587544	8286	22107
185423	616663	8150	24434
179795	615956	8417	26344
179034	629389	10668	28851
183938	655754	10101	31870
182851	700049	15060	35412
179658	726756	5557	35075
182649	789857	0	0
176903	803126	0	0
176172	872131	0	0
0	1505857	0	0
